year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2008,12,0.0018441378,0.0413926347,0.0395484969,0.0079972721,0.0318271967,0.0238299246,-0.007706263,0.0245548239,0.032261087
2009,1,-0.061024727,-0.072065251,-0.011040524,-0.046373527,-0.077237799,-0.030864272,-0.031660471,-0.070186682,-0.038526211
2009,2,0.0133191487,-0.091360292,-0.104679441,-0.0014382,-0.083703861,-0.082265661,0.0014682589,-0.105907512,-0.107375771
2009,3,0.001561698,0.1008967943,0.0993350962,-0.013076779,0.1007102397,0.1137870188,-0.007963152,0.1056432971,0.1136064488
2009,4,-0.000603086,0.2009072966,0.2015103827,0.02063721,0.162017987,0.141380777,0.0217429373,0.171347042,0.1496041046
2009,5,-0.113096565,0.0323437474,0.1454403127,-0.090947931,0.0327641608,0.1237120923,-0.097466202,0.0175046786,0.1149708811
2009,6,0.0232373292,0.0100684826,-0.013168847,0.0418285074,0.0088705662,-0.032957941,0.0032834004,0.0055432792,0.0022598787
2009,7,0.0061733137,0.1083732385,0.1021999248,-0.017576342,0.0748788489,0.0924551914,-0.007260325,0.0992682115,0.1065285366
2009,8,0.0298411159,0.0429347839,0.013093668,0.0307735139,0.0368662585,0.0060927446,0.0411474935,0.0503406406,0.009193147
2009,9,-0.045402625,0.0488989481,0.0943015731,-0.063184832,0.0340188486,0.0972036803,-0.040218358,0.030298521,0.0705168794
2009,10,0.0010602979,-0.050350642,-0.05141094,0.0270503038,-0.026331573,-0.053381876,0.0340150331,-0.036449847,-0.07046488
2009,11,-0.004114479,0.0437373933,0.0478518725,-0.008439931,0.054113559,0.0625534899,-0.006489496,0.0377991494,0.0442886455
2009,12,-0.020365619,0.0665855182,0.0869511375,-0.038974692,0.0405890508,0.0795637423,-0.027285373,0.0568008848,0.0840862577
2010,1,0.0079739903,-0.031196323,-0.039170314,0.0206131264,-0.031515712,-0.052128839,0.0131338187,-0.035045723,-0.048179542
2010,2,-0.004166545,0.0462821242,0.0504486688,-0.021444726,0.0198288491,0.0412735755,-0.016742874,0.0327805586,0.0495234329
2010,3,0.0134681777,0.083286123,0.0698179452,-0.00832613,0.0685409174,0.0768670474,0.0081358725,0.0757378712,0.0676019987
2010,4,0.005641331,0.0556706524,0.0500293214,0.0065642455,0.0443305393,0.0377662937,0.0041607672,0.0474932502,0.043332483
2010,5,0.0065502276,-0.072642622,-0.07919285,0.0094463472,-0.075672612,-0.085118959,0.0010746617,-0.079805572,-0.080880234
2010,6,-0.027591093,-0.070781147,-0.043190055,-0.024108635,-0.066954022,-0.042845388,-0.018921535,-0.06410835,-0.045186815
2010,7,0.0306255388,0.0942352296,0.0636096908,0.0476478463,0.1130047906,0.0653569442,0.0280648514,0.0937519966,0.0656871452
2010,8,-0.032044148,-0.088697248,-0.056653099,-0.042675298,-0.089229434,-0.046554136,-0.026923507,-0.086473589,-0.059550083
2010,9,0.0355983905,0.1444786449,0.1088802544,0.0433386282,0.1431218189,0.0997831907,0.0281968978,0.1329989857,0.1048020879
2010,10,0.0072289868,0.0519678158,0.044738829,0.0134433146,0.059353834,0.0459105193,0.0087782332,0.051993731,0.0432154978
2010,11,0.0009792475,0.0562250495,0.055245802,0.0115139184,0.0525215186,0.0410076002,-0.005044707,0.0496211866,0.0546658937
2010,12,0.0375854361,0.0989698593,0.0613844232,0.0417177891,0.1010770137,0.0593592246,0.041009674,0.0951603244,0.0541506504
2011,1,0.0108752308,0.0129529594,0.0020777286,0.0085352868,0.0211319882,0.0125967014,-0.003995638,0.0055994977,0.0095951352
2011,2,-0.016356139,0.0442344047,0.0605905442,-0.02577449,0.0396228913,0.0653973809,-0.014056793,0.0490472318,0.063104025
2011,3,0.0008676605,0.0205628881,0.0196952276,0.0055270824,0.0155686839,0.0100416015,-0.007441946,0.0202238419,0.0276657877
2011,4,-0.001359736,0.0173703114,0.0187300472,-0.010825665,0.0182365589,0.0290622235,-0.00812131,0.0132948859,0.0214161955
2011,5,-0.012240347,-0.032078844,-0.019838497,-0.013033066,-0.033912186,-0.02087912,-0.011096676,-0.02741259,-0.016315913
2011,6,-0.003782536,-0.021445223,-0.017662687,-0.011786409,-0.033834197,-0.022047788,-0.014612111,-0.018852769,-0.004240658
2011,7,-0.006773107,-0.038425205,-0.031652098,-0.010122271,-0.036355587,-0.026233316,0.0010313638,-0.031797672,-0.032829036
2011,8,0.0044282023,-0.084716987,-0.089145189,0.0068949214,-0.06672846,-0.073623381,-0.02365996,-0.083083338,-0.059423378
2011,9,0.0338280723,-0.116865672,-0.150693744,0.029467697,-0.09916375,-0.128631447,-0.029731231,-0.118452091,-0.08872086
2011,10,0.0245766299,0.1692696082,0.1446929783,0.0133422221,0.134620127,0.1212779049,0.0410220489,0.1660615478,0.125039499
2011,11,0.0196063829,0.0017488839,-0.017857499,0.0207061761,0.0165555974,-0.004150579,0.0047702175,0.007048935,0.0022787175
2011,12,0.0191045028,0.0001411572,-0.018963346,0.0313194865,0.0118226279,-0.019496859,0.0141192473,-0.005126121,-0.019245368
2012,1,0.010489629,0.1018182536,0.0913286246,0.0103175166,0.0782399387,0.0679224221,0.0305360331,0.086584243,0.0560482099
2012,2,0.0166094184,0.0430934448,0.0264840264,-0.007134181,0.0210551142,0.0281892957,0.0332934472,0.0427145026,0.0094210554
2012,3,0.0316303896,0.0227088192,-0.00892157,0.0287356679,0.0258497305,-0.002885937,0.0054836865,0.0259341366,0.02045045
2012,4,0.0043276386,-0.011537335,-0.015864974,0.0021438687,-0.004738271,-0.006882139,0.0082664346,0.0024443692,-0.005822065
2012,5,0.0146595161,-0.079492905,-0.094152421,0.025245654,-0.064938541,-0.090184195,-0.023337171,-0.080602289,-0.057265118
2012,6,0.0020811795,0.0342608332,0.0321796537,-0.01061268,0.0305479251,0.0411606047,-0.020609767,0.0227384087,0.0433481755
2012,7,-0.001095434,-0.01201184,-0.010916407,0.0099010176,0.0019432028,-0.007957815,0.0049978697,-0.001280084,-0.006277954
2012,8,-0.004094346,0.0321773928,0.0362717386,0.0036071994,0.0346092193,0.0310020199,0.0030225428,0.0355951346,0.0325725918
2012,9,-0.012030272,0.029824817,0.0418550894,-0.020927899,0.0277003406,0.0486282391,-0.019483086,0.0291918305,0.0486749161
2012,10,0.0062453797,-0.016436958,-0.022682338,0.019008577,-0.013245071,-0.032253648,0.0070708294,-0.016726518,-0.023797347
2012,11,0.0174734985,0.0184281716,0.000954673,0.0296335158,0.0244096674,-0.005223848,0.0231491937,0.0206960222,-0.002453172
2012,12,-0.007177559,0.0257325635,0.0329101222,-0.010435161,0.0153894402,0.0258246017,-0.010498928,0.0182790405,0.0287779683
2013,1,-0.007441265,0.0633832055,0.0708244703,-0.007392372,0.0644026831,0.0717950551,-0.019576103,0.0593464003,0.0789225032
2013,2,0.0114574997,0.0119027695,0.0004452698,0.0090620104,0.0115475777,0.0024855674,-0.00321689,0.0141469463,0.0173638365
2013,3,0.0023594873,0.0444580205,0.0420985331,0.01655259,0.0524284699,0.03587588,0.0046634115,0.0497818835,0.0451184719
2013,4,-0.004127104,-0.010349215,-0.006222111,0.0105860767,-0.000469625,-0.011055702,0.003462095,-0.00263524,-0.006097335
2013,5,0.0180022622,0.0607609322,0.04275867,0.0012396166,0.0370580183,0.0358184017,0.0065569032,0.0516878516,0.0451309484
2013,6,-0.008448161,-0.010320352,-0.001872191,-0.022833889,-0.016924268,0.0059096204,-0.013340918,-0.012277502,0.0010634167
2013,7,0.0042955221,0.0689516318,0.0646561097,-0.004171434,0.0623514715,0.0665229056,0.0111177346,0.0758938594,0.0647761248
2013,8,-0.02530352,-0.026725351,-0.001421831,-0.025460553,-0.025661705,-0.000201152,-0.02547769,-0.026218446,-0.000740756
2013,9,0.0210716968,0.0666843691,0.0456126723,-0.001209877,0.0622574468,0.0634673241,0.0058544642,0.0606308884,0.0547764242
2013,10,-0.003100393,0.031955652,0.0350560454,0.0009767686,0.0367751218,0.0357983532,-0.011183888,0.031939679,0.0431235671
2013,11,0.0269218621,0.0372452903,0.0103234282,0.0166364397,0.0336676046,0.0170311649,0.0250358025,0.0366576179,0.0116218154
2013,12,0.0053376219,0.0380879103,0.0327502884,-0.00363249,0.0266012343,0.0302337243,0.0034004972,0.0323055594,0.0289050623
2014,1,0.0076958691,-0.007276456,-0.014972325,0.0281729638,0.0190126906,-0.009160273,0.0427467322,0.0228590979,-0.019887634
2014,2,0.0062796154,0.0582505571,0.0519709417,0.0125848834,0.0754525054,0.062867622,0.0128239605,0.0740143553,0.0611903948
2014,3,-0.007974528,0.0022429566,0.0102174846,-0.010186746,-0.014392658,-0.004205912,-0.024591844,-0.01786715,0.0067246939
2014,4,-0.030156811,-0.032486942,-0.002330131,-0.032173524,-0.039294296,-0.007120772,-0.03887837,-0.039806853,-0.000928483
2014,5,0.009167993,0.0166133158,0.0074453227,-0.006847567,0.0048478522,0.0116954191,0.0045666876,0.0059861154,0.0014194278
2014,6,-0.021719182,0.0436006673,0.065319849,-0.040550792,0.0315765824,0.0721273742,-0.026294549,0.0378687186,0.0641632672
2014,7,0.0073995127,-0.055664716,-0.063064229,0.0119904173,-0.050801312,-0.062791729,0.0063586469,-0.053341482,-0.059700129
2014,8,0.0104396985,0.0563751844,0.0459354859,-0.000334976,0.0476579712,0.0479929472,0.0052579831,0.052837103,0.0475791199
2014,9,0.0251877013,-0.04868743,-0.073875131,0.027963702,-0.043474785,-0.071438487,0.0202140458,-0.042831465,-0.063045511
