permno,ticker
02018501,SMG
02020401,ICON
02021401,ERF
02022501,NERV
02022801,CTLT
02022901,ZEN
02023201,KEYS
02023301,TBPH
02023501,DNOW
02029801,PE
02029901,LOB
02033801,PRMW
02034401,WPG
02041201,ARES
02042001,OEC
02042201,HRTG
02043001,SLM
02044101,GWGH
02047301,WLKP
02048801,GSS
02049601,ATTO
02050201,RYAM
02051702,LMB
02053401,VNOM
02053901,PBFX
02054001,TRUE
02054801,COG
02055402,NAOV
02056701,MRNS
02057001,MDCA
02060001,NG
02062102,DMTK
02062801,ISTR
02064401,GPRO
02064501,ARDX
02064901,SNDX
02065303,DEN
02065501,NEP
02065901,AMPH
02066101,VEC
02067001,PAAS
02067701,FFWM
02068601,SYF
02069201,KE
02069501,PDS
02069603,DOOR
02069901,LTRPA
02069902,LTRPB
02072001,RLMD
02074001,SPKE
02074801,ANET
02075601,MTNB
02077901,CSCO
02079101,BXMT
02082301,HQY
02089802,SLNO
02090401,HOLX
02093501,TRUP
02094301,SAGE
02094401,SHLX
02094501,IRMD
02095901,PLYM
02096001,CNNE
02096101,ATEX
02100001,HSDT
02100201,CYBR
02100301,ZSAN
02100401,LNTH
02100601,XENT
02101201,ATRA
02101501,OCUL
02101901,BSIG
02102001,ADVM
02103201,VKTX
02103301,TTOO
02103501,RMBL
02104201,AKTS
02104801,HMLP
02110301,RWLK
02111801,AXDX
02112401,LOCO
02114501,OTIC
02116501,ICD
02117801,NBEV
02120801,EARS
02120901,VBLT
02122302,CFRX
02122701,LBRDA
02122702,LBRDK
02123202,NTN
02123701,TTI
02123801,VICR
02124101,CGA
02126301,PBLA
02128201,EYEG
02135201,AVNS
02142101,EYES
02142901,GVA
02143102,CRC
02144001,LSTR
02150301,KMPR
02151501,UNVR
02152201,VYNE
02152401,PRQR
02154001,W
02154201,AAON
02154701,MDLY
02155401,CREX
02157701,OGI
02159301,CIVB
02160101,RYTM
02160401,PGRE
02161601,GWB
02162701,CALA
02162801,USDP
02163001,STOR
02163301,VBTX
02163501,AFMD
02173901,PRAH
02174301,NVEC
02174401,XENE
02176101,CDK
02177701,MMSI
02179801,FRPT
02179901,VCTR
02180701,CTXR
02180801,CZR
02181501,TBK
02182401,BSGM
02182501,CFG
02183301,HESM
02183401,TUSK
02183801,VIVE
02184101,CHRS
02184701,HUBS
02186401,GIB
02189801,BOOT
02190101,FGEN
02190401,PANL
02191601,NVRO
02196501,CCRC
02196701,PYPD
02198401,VERB
02200001,WK
02202501,SNR
02203501,CRBP
02203701,SIEN
02203901,SYNH
02204001,UPLD
02204701,GRBK
02205302,MCF
02208201,JYNT
02208601,IBOC
02211401,NMRD
02211901,AINC
02212401,LMRK
02213401,AXTA
02213801,TANH
02215501,FND
02218001,UFAB
02218201,NEWR
02220101,ICBK
02220701,TBI
02225801,BLCM
02226004,HCA
02228401,SND
02231801,RELI
02232501,XLNX
02237301,GNSS
02238701,APHA
02243901,CURO
02244702,PARR
02244901,ACB
02245901,UE
02246001,CRON
02254301,GTIM
02257001,AAU
02258301,GMS
02259001,PIRS
02260301,SUM
02263201,LCI
02263801,ZI
02265301,VSTO
02267101,ESTE
02267201,SHAK
02267401,DEA
02267602,CHEK
02269701,TCON
02270301,GP
02270401,AVGR
02270801,INOV
02271301,HTGM
02271701,SYBT
02273101,PATI
02274101,CC
02278301,KEN
02280301,CWBR
02281501,TRMB
02281701,VERU
02285301,AJX
02286101,CKX
02286701,NVTA
02287901,GRNQ
02292701,BLPH
02296401,EPIX
02297501,FNWB
02298301,XHR
02302701,EXPO
02307101,GDDY
02307701,UNIT
02308301,ENR
02308401,BHE
02308601,NXRT
02309301,FRTA
02309801,RKDA
02310601,VRAY
02310901,GEN
02311901,SEDG
02314701,NSA
02316701,BLBD
02319501,MTRX
02320801,BNED
02322401,ESE
02322501,CABO
02322601,INUV
02323801,ETSY
02324101,OPGN
02324301,KRNT
02324501,BLD
02324701,PJT
02324901,LITE
02325201,ETH
02329101,BIOL
02329601,EVA
02329701,XBIT
02333701,TYME
02333901,KMPH
02335301,GSBD
02335801,CDTX
02337001,TYHT
02340701,BPMC
02343201,VIRT
02343301,BSM
02345001,NRIM
02346401,OPRX
02348501,CVA
02350001,CATY
02354001,HZN
02354601,CDAY
02355201,PFHD
02355501,COLL
02355601,CHCT
02355701,DTEA
02358702,HAYN
02360701,DUOT
02362301,SMTI
02362701,LIFE
02365001,SHOP
02369801,ALTA
02370502,PAVM
02371401,CYH
02375301,DORM
02376801,PICO
02379301,PSB
02380901,AZO
02381001,IO
02381201,REGN
02381801,EVH
02384301,WING
02385601,FIT
02386401,EXTN
02386501,BW
02393301,SIOX
02397701,APLE
02397801,X
02398001,CATB
02399001,GKOS
02399601,GNL
02400501,AXAS
02402101,HAE
02402801,MDWT
02404001,IONS
02407101,APPF
02407301,GPP
02407601,OLLI
02408301,VERX
02408401,CFMS
02409901,LCUT
02411601,FSV
02413501,ALRM
02414201,MYT
02415701,FCFS
02417101,DBI
02417601,NTRA
02417701,MCRB
02419701,IDXX
02420401,ISIG
02421601,AES
02422501,CRVL
02423201,HWC
02423301,STFC
02423401,IMBI
02424901,TDOC
02427701,PROF
02428708,AMBC
02429101,DIN
02429303,KALU
02430201,ALKS
02431601,MNST
02433001,SRG
02434401,VRTX
02435001,MNRO
02435101,LIND
02435201,PRGS
02437001,CCJ
02437901,MTG
02439601,TVTY
02440501,ZBRA
